# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
1.370000000000000107e+00 6.566654912778909614e-13 2.620955705987075227e-12 3.892958268918337832e-13 3.236533280541978045e-12 1.214300279920067544e-14 2.221373825950736063e-13
1.487000000000000099e+00 7.289676512251022776e-13 2.907919094641404316e-12 4.321896846750926028e-13 3.575383900132522864e-12 1.294533115972488383e-14 2.377238811868509295e-13
1.608999999999999986e+00 7.955959587556305961e-13 3.173430502989353615e-12 4.717742810970104272e-13 3.880805402998109739e-12 1.347110191097837880e-14 2.483494255791156074e-13
1.737000000000000099e+00 8.551522890060752205e-13 3.410419328533930386e-12 5.069089861171928491e-13 4.141210464548332796e-12 1.370888716678727631e-14 2.538333531581625581e-13
1.870999999999999996e+00 9.042438105766501529e-13 3.604852442139127079e-12 5.353091530893850722e-13 4.337700781724742129e-12 1.360147167000517829e-14 2.530649763848144748e-13
2.012999999999999901e+00 9.395331184417063114e-13 3.744357110135929886e-12 5.552704295073793127e-13 4.453762857495096280e-12 1.310302996482743692e-14 2.451679817148197163e-13
2.160000000000000142e+00 9.587948567927344583e-13 3.819260132251358980e-12 5.652721528279211976e-13 4.478001649852248343e-12 1.220013892979751328e-14 2.298804591297024152e-13
2.315999999999999837e+00 9.606588993111710391e-13 3.823992625207648634e-12 5.645810587711248406e-13 4.405647712857059505e-12 1.091155173282464670e-14 2.074556353886483582e-13
2.479000000000000092e+00 9.453456511917539232e-13 3.760661497487638323e-12 5.537161355256829301e-13 4.242613338973266571e-12 9.287275241571720733e-15 1.789189723619297542e-13
2.649000000000000021e+00 9.145715887563499419e-13 3.636736607217941036e-12 5.339347192280233801e-13 4.004010343073971313e-12 7.422104001418958541e-15 1.459976600992312814e-13
2.829000000000000181e+00 8.711952099176265689e-13 3.463779900510104221e-12 5.070685298416348771e-13 3.711008426139172154e-12 5.457581747855658637e-15 1.111850929433241784e-13
3.016999999999999904e+00 8.187467866905526609e-13 3.255603920600986683e-12 4.749287143327513684e-13 3.387724795493442043e-12 3.611784136088690897e-15 7.789881261416638356e-14
3.213999999999999968e+00 7.611910784083676494e-13 3.028312550261550133e-12 4.401836651248079570e-13 3.066975600714254109e-12 2.143227658684119610e-15 4.997667484075144792e-14
3.420999999999999819e+00 7.020538167702447895e-13 2.797035064616710700e-12 4.052174993226875455e-13 2.773232019889051576e-12 1.170229865956284120e-15 2.976321593806474358e-14
3.637999999999999901e+00 6.446083746576036587e-13 2.573720469294335463e-12 3.717311314763888112e-13 2.515965613193315611e-12 6.095235696018070165e-16 1.686281701838608002e-14
3.866000000000000103e+00 5.911360707945270285e-13 2.367316574039795675e-12 3.410052620985127835e-13 2.295531729024128061e-12 3.106730018137319142e-16 9.285187336673324062e-15
4.105000000000000426e+00 5.432581567658561594e-13 2.182919804171734804e-12 3.138342898257987208e-13 2.109693504608032625e-12 1.566990236941989531e-16 5.026566172151705534e-15
4.355999999999999872e+00 5.016709847152680805e-13 2.023617490463493672e-12 2.904402923083820557e-13 1.954940089924111146e-12 7.824918063288668775e-17 2.682055539980446954e-15
4.618999999999999773e+00 4.674435501719344229e-13 1.890618552090518302e-12 2.702732898870992060e-13 1.823377141268614893e-12 3.861406149653898488e-17 1.409440762288000675e-15
